u:, s:, b:, B:, a:, A:
49708240224, BTCUSDT, 59276.06000000, 3.56829000, 59276.07000000, 1.24622000
49708240226, BTCUSDT, 59276.06000000, 3.56829000, 59276.07000000, 1.44851000
49708240238, BTCUSDT, 59276.06000000, 2.66291000, 59276.07000000, 1.44851000
49708240245, BTCUSDT, 59276.06000000, 2.66291000, 59276.07000000, 1.78035000
49708240261, BTCUSDT, 59276.06000000, 2.66301000, 59276.07000000, 1.78035000
49708240262, BTCUSDT, 59276.06000000, 2.66301000, 59276.07000000, 1.44851000
49708240266, BTCUSDT, 59276.06000000, 2.65841000, 59276.07000000, 1.44851000
49708240268, BTCUSDT, 59276.06000000, 2.65841000, 59276.07000000, 1.83441000
49708240270, BTCUSDT, 59276.06000000, 2.65841000, 59276.07000000, 1.83911000
49708240278, BTCUSDT, 59276.06000000, 2.04582000, 59276.07000000, 1.83911000
49708240279, BTCUSDT, 59276.06000000, 2.07436000, 59276.07000000, 1.83911000
49708240282, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 1.83911000
49708240283, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 1.63682000
49708240284, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 1.25092000
49708240285, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 1.23430000
49708240288, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.87547000
49708240289, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.87077000
49708240290, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.55601000
49708240292, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.42142000
49708240295, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.63371000
49708240301, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.76751000
49708240302, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.77221000
49708240303, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.80121000
49708240304, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.58892000
49708240305, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.67450000
49708240309, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.66980000
49708240311, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.67450000
49708240313, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.58892000
49708240323, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.57230000
49708240336, BTCUSDT, 59276.06000000, 2.44336000, 59276.07000000, 0.57266000
49708240343, BTCUSDT, 59276.06000000, 2.44376000, 59276.07000000, 0.57266000
49708240345, BTCUSDT, 59276.06000000, 2.63871000, 59276.07000000, 0.57266000
49708240348, BTCUSDT, 59276.06000000, 2.84332000, 59276.07000000, 0.57266000
